,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
68,Processing of nuclear fuel,80.9,94.4,98.3,111.4,106.7,89.1,166.8,176.8,2.5,2.5,2.6,2.5,2.4,2.4,2.5,2.5,2.5,2.7,2.6,2.3,2.3,2.2,2.3,2.1,2.1,2.2,2.1,2.2,2.1,2.0,
69,"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition",4732.6,4628.9,4554.3,4386.6,4322.6,4107.1,4278.5,4309.5,4064.0,4605.4,3306.9,3096.3,2920.2,3144.5,3067.8,3081.8,3112.5,3026.2,2794.0,2386.7,2612.6,2554.2,2434.3,2427.2,2478.1,3092.5,3022.0,3076.3,3184.2,3044.3,
70,Manufacture of weapons and ammunition,183.1,165.3,131.9,82.6,57.3,62.7,188.3,157.6,161.6,133.2,147.4,105.7,147.6,121.0,118.8,104.8,97.0,86.7,71.8,61.1,70.7,74.5,67.8,62.8,67.4,117.9,117.5,124.1,132.1,126.0,
71,"Computer, electronic, communication and optical products",1233.5,1468.1,1426.6,1195.7,994.9,911.5,975.1,896.8,987.5,886.3,1086.2,1016.1,847.1,845.9,826.2,831.6,794.0,717.3,650.0,590.2,578.3,574.9,572.9,586.8,617.2,664.5,700.0,731.2,751.6,769.5,
72,Electrical equipment,1564.4,1779.4,1716.4,1418.9,1114.6,987.1,1094.5,954.6,938.9,993.5,1007.7,1016.0,968.2,921.7,918.5,965.4,939.4,877.4,751.8,656.2,664.0,654.1,618.2,605.2,636.5,698.4,720.4,738.4,756.7,750.0,
73,Machinery and equipment n.e.c.,2748.2,2987.5,2866.9,2516.6,2170.1,1980.5,2130.1,2086.7,2315.8,2104.7,2194.7,2043.4,1903.3,1862.7,1820.2,1818.1,1807.9,1695.1,1511.1,1319.2,1410.4,1409.9,1362.4,1324.2,1355.4,1789.4,1849.4,1896.4,1956.9,1887.2,
74,"Motor vehicles, trailers and semi-trailers",2005.3,2174.5,2323.2,1811.0,1694.4,1670.7,1575.5,1557.4,1368.4,1845.2,2181.3,2231.3,1930.4,1966.4,1708.0,1790.4,1848.7,1597.9,1018.4,947.9,1593.6,1652.9,1559.4,1654.3,1771.0,1506.9,1535.5,1476.8,1397.8,1483.3,
75,Building of ships and boats,239.4,242.3,217.6,170.2,166.7,164.9,193.1,171.3,192.0,191.2,300.1,170.4,166.2,144.4,208.0,269.3,230.8,222.0,189.5,201.7,290.3,238.0,183.1,177.4,241.5,231.5,248.3,272.2,237.8,227.3,
76,Manufacture of air and spacecraft and related machinery,1120,1446.2,1500.8,1019.5,720.8,727.4,580.2,699.3,954.5,773.7,729.9,605.8,742.9,671.5,669.5,722.6,541.2,495.3,351.2,356.6,582.7,515.6,446.0,473.0,547.0,473.7,520.0,538.3,485.5,492.4,
77,"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",240.2,238.2,222.2,166.6,119.2,128.5,188.6,182.2,170.7,144.7,155.2,127.0,124.4,209.9,211.1,149.2,133.7,117.4,83.7,86.7,123.5,118.7,110.7,115.9,125.6,112.7,122.8,123.4,117.9,120.8,
78,Furniture,3098.2,3291.6,2838.0,2605.6,2314.8,1862.4,2088.8,1894.9,1258.3,1934.0,1340.1,1678.8,1235.4,1198.3,1240.8,1386.4,1296.9,1170.7,903.6,806.4,859.4,785.9,748.5,738.2,736.7,753.7,833.8,831.8,860.4,844.5,
